"","Age","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","Anxiety","Depression","Insomnia","OCD"
"1","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Latin","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"2","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"3","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"4","Age 55-64","2 < hours <= 4","Listening while working","Non-instrumentalist","Composer","Jazz","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"5","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Only fluent","Anxious","Not Depressed","Fairly Insomniac","O-C"
"6","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Jazz","Exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"7","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"8","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"9","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"10","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"11","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Country","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"12","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"14","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"15","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Jazz","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"16","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"17","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"18","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Composer","Hip hop","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"19","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"20","Age < 18","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Hip hop","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"21","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"22","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"23","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"24","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Fairly O-C"
"25","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"26","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"27","Age < 18","6+ hours","Listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"28","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Pop","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"29","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"30","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"31","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"32","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"33","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"34","Age < 18","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"35","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"36","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"37","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"38","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"39","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"40","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Anxious","Not Depressed","Insomniac","Fairly O-C"
"41","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Video game music","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"42","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"43","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"44","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"45","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"46","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Folk","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"47","Age 35-44","hours <= 2","Not listening while working","Instrumentalist","Composer","Classical","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"48","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"49","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"50","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"51","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","EDM","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"52","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"53","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rap","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"54","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Not Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"55","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"56","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"57","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"58","Age 35-44","hours <= 2",NA,"Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Not Depressed","Insomniac","Not O-C"
"59","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"60","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"61","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"62","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"63","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Fairly Insomniac","O-C"
"64","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"65","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"66","Age 35-44","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"67","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"68","Age 25-34","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"69","Age 35-44","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"70","Age 35-44","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"71","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"72","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"73","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"74","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Composer","Hip hop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"75","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Hip hop","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"76","Age < 18","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Jazz","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"77","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"78","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"79","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","EDM","Non-exploring","Not Fluent","Anxious","Not Depressed","Fairly Insomniac","O-C"
"80","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"81","Age 18-24","4 < hours <= 6","Not listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"82","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Jazz","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"83","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"84","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"85","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"86","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"87","Age < 18","6+ hours","Listening while working","Instrumentalist","Non-composer","Jazz","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"88","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"89","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"90","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Non-exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"91","Age 25-34","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"92","Age 35-44","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Video game music","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"93","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"94","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"95","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"96","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"97","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Composer","EDM","Exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"98","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"99","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"100","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"101","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Not Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"102","Age 25-34","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"103","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"104","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"105","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"106","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"107","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"108","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"109","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"110","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Composer","Metal","Exploring","Only fluent","Anxious","Not Depressed","Insomniac","O-C"
"111","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"112","Age < 18","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"113","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"114","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"115","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"116","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"117","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Metal","Non-exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
